participante,ImageName,score,saliency_coverage,stationary_entropy,gaze_points_count
10,130,2.0,8.029166666666667,16.13682323274093,450
10,131,4.0,14.627708333333334,17.379725786268036,450
10,139,5.0,8.506874999999999,16.981493731763976,450
10,142,2.0,9.220625,16.830958889422423,451
10,143,6.0,6.793333333333333,16.857182465907176,451
10,145,8.0,2.8208333333333333,16.93426162192581,437
11,6,4.0,12.968541666666667,17.13557431260582,430
11,7,4.0,5.975,16.378977759167753,435
11,8,5.0,11.517291666666667,16.94076540950367,435
11,10,5.0,8.247291666666667,16.505010980077518,414
11,11,6.0,10.05,16.490170004393395,436
11,13,6.0,12.502916666666666,16.77452586614182,450
11,15,5.0,14.171875,17.011404940970387,441
11,17,7.0,7.127083333333334,16.501232702349377,451
11,18,7.0,14.627916666666666,17.129039908555566,437
11,25,3.0,13.367291666666667,16.705267558908584,432
11,27,8.0,12.651666666666667,16.756462306600586,416
11,29,5.0,8.060208333333334,16.353954051029636,450
11,33,5.0,13.915208333333334,16.92742508887787,438
11,35,7.0,8.030208333333333,16.57048484851683,450
11,41,4.0,6.649166666666667,16.42670132446424,436
